CATEGORIA;REGIAO;GRUPO;ANO_MODELO;SEXO_CONDUTOR;FAIXA_ETARIA;IS_MEDIA_REAL;EXPOSTOS;PREMIO_MEDIO;FREQ_INCENDIO_ROUBO;INDENI_INCENDIO_ROUBO;FREQ_COLISAO;INDENI_COLI;FREQ_OUTRAS;INDEN_OUTRAS
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;21240;203;989;4;11527;8;47239;86;23529
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;19570;416;852;5;37310;15;91788;342;101367
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;19179;364;1345;15;204188;6;45670;157;75059
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;20271;2478;1120;91;1004378;58;536447;1205;464631
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;19819;3686;1044;147;1093843;75;493109;1955;831188
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;18793;3102;971;112;1013076;55;443514;2002;638727
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;17991;4535;881;128;849765;70;500278;4087;802612
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;18653;643;1188;25;271497;23;231082;177;147857
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;19490;2831;1131;103;1250856;72;611563;1117;733597
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;19084;3337;1030;101;880018;109;833430;1349;680870
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;18252;3026;979;64;489506;72;556681;1300;783639
Passeio nacional;SP - Met. de São Paulo;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;17808;6115;867;123;789617;86;611652;3265;856820
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;20924;605;986;10;48792;34;230622;122;38992
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;21930;3526;816;79;409604;204;1240078;828;639067
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;21495;4108;763;80;423962;195;1002812;894;379129
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;20959;3338;727;53;201681;140;763889;717;378710
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;20515;4799;667;42;63347;177;818064;1285;354874
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;20882;568;1087;28;120172;36;198240;80;45857
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;21230;2464;877;64;313949;174;922556;588;368874
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;20950;2688;798;46;333863;164;1080741;611;375413
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;20576;2454;733;22;78367;100;552448;476;307257
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;20202;5430;665;52;256129;202;1200473;962;435101
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;20110;82;1179;2;1010;4;46558;18;55664
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;20823;609;954;21;203932;31;151654;216;212256
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;20867;819;946;26;153828;22;152487;291;115905
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;20398;647;876;23;135464;17;133351;253;94841
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;19867;790;822;20;107007;27;233106;372;70524
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;20204;121;1207;5;22299;8;100213;25;16205
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;20046;542;1012;8;49266;13;112486;149;227589
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;20012;673;966;20;143198;20;142910;274;186009
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;19451;596;910;24;142339;23;204274;156;73217
Passeio nacional;SP - Vale do Paraíba e Ribeira;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;19319;1229;824;22;112635;29;177742;432;175839
